Date,Close_Last,Volume,Open,High,Low
01/14/2022,$100.12 ,13703170,$101.91 ,$101.91 ,$99.09 
01/13/2022,$102.40 ,9818487,$104.15 ,$104.67 ,$102.09 
01/12/2022,$103.87 ,11810460,$104.44 ,$105.32 ,$103.68 
01/11/2022,$104.04 ,13073180,$106.04 ,$106.17 ,$103.71 
01/10/2022,$106.03 ,8499389,$106.62 ,$107.01 ,$104.42 
01/07/2022,$107.57 ,11266440,$108.22 ,$109.71 ,$107.48 
01/06/2022,$111.14 ,6099910,$110 ,$111.88 ,$109.99 
01/05/2022,$110.44 ,8662327,$114.40 ,$114.96 ,$110.40 
01/04/2022,$114.24 ,8367607,$116.90 ,$117.05 ,$114.17 
01/03/2022,$116.68 ,5478426,$116.47 ,$117.80 ,$114.78 
12/31/2021,$116.97 ,3674938,$115.67 ,$117.48 ,$115.60 
12/30/2021,$116.24 ,4068918,$116.38 ,$117.34 ,$116.08 
12/29/2021,$116.38 ,4215460,$115.40 ,$116.96 ,$115.31 
12/28/2021,$115.57 ,4562965,$114 ,$116.28 ,$113.81 
12/27/2021,$114.22 ,3717026,$112.60 ,$114.37 ,$112.39 
12/23/2021,$112.37 ,3359803,$112.23 ,$112.91 ,$111.99 
12/22/2021,$111.74 ,3643281,$110.20 ,$111.78 ,$110 
12/21/2021,$110.37 ,4682227,$109 ,$110.90 ,$108.87 
12/20/2021,$108.09 ,6313699,$107.07 ,$108.12 ,$106.61 
