Date,Close/Last,Volume,Open,High,Low
01/14/2022,$100.12,13703170,$101.91,$101.91,$99.09
01/13/2022,$102.4,9818487,$104.15,$104.665,$102.09
01/12/2022,$103.87,11810460,$104.435,$105.32,$103.68
01/11/2022,$104.04,13073180,$106.04,$106.17,$103.71
01/10/2022,$106.03,8499389,$106.615,$107.01,$104.42
01/07/2022,$107.57,11266440,$108.215,$109.71,$107.475
01/06/2022,$111.14,6099910,$110,$111.88,$109.99
01/05/2022,$110.44,8662327,$114.4,$114.9562,$110.4
01/04/2022,$114.24,8367607,$116.9,$117.05,$114.165
01/03/2022,$116.68,5478426,$116.47,$117.8,$114.78
12/31/2021,$116.97,3674938,$115.67,$117.48,$115.6049
12/30/2021,$116.24,4068918,$116.38,$117.34,$116.08
12/29/2021,$116.38,4215460,$115.3959,$116.96,$115.3103
12/28/2021,$115.57,4562965,$114,$116.2801,$113.81
12/27/2021,$114.22,3717026,$112.6,$114.37,$112.39
12/23/2021,$112.37,3359803,$112.23,$112.91,$111.99
12/22/2021,$111.74,3643281,$110.2,$111.783,$110
12/21/2021,$110.37,4682227,$109,$110.9,$108.87
12/20/2021,$108.09,6313699,$107.07,$108.12,$106.61
12/17/2021,$108.63,13720730,$111.27,$111.8,$108.22
12/16/2021,$113.59,7544369,$115,$115.4,$113.22
12/15/2021,$114.68,6902396,$114.81,$115.2,$112.755
12/14/2021,$114.71,6854618,$114.57,$115.3,$114.03
12/13/2021,$115.56,6479398,$116.16,$116.83,$115.22
12/10/2021,$116.73,6110960,$115.82,$117.09,$115.78
12/09/2021,$115.35,5664678,$115.8,$116.41,$115.24
12/08/2021,$116.25,5806963,$115.78,$116.65,$115.15
12/07/2021,$116.26,8786898,$115.058,$117.19,$114.79
12/06/2021,$113.36,8280227,$112.01,$114.17,$111.71
12/03/2021,$111.24,7014076,$111.85,$112.8463,$110.08
12/02/2021,$111.42,7709360,$109.17,$112.08,$109.17
12/01/2021,$108.66,7621590,$110.96,$113.35,$108.55
11/30/2021,$109.64,9483253,$109.55,$111.09,$109.05
11/29/2021,$110.73,7114069,$111.36,$111.69,$109.62
11/26/2021,$110.66,6703214,$110.01,$110.83,$109.251
11/24/2021,$113.97,4464304,$113.41,$114.26,$113.08
11/23/2021,$113.58,7911991,$112,$114.1102,$111.78
11/22/2021,$111.45,5969252,$111.11,$112.59,$110.67
11/19/2021,$110.78,6922803,$112.729,$112.9,$109.77
11/18/2021,$112.9,5641290,$112.12,$113.2299,$111.34
11/17/2021,$112.52,5768639,$112.22,$113.1086,$111.66
11/16/2021,$112.23,7964980,$112.28,$113.11,$111.505
11/15/2021,$111.87,6566119,$112.12,$113.65,$111.58
11/12/2021,$111.72,7350369,$111.74,$112.24,$111.09
11/11/2021,$111.44,7191873,$113.25,$113.25,$110.535
11/10/2021,$113.25,6563699,$112.905,$114.46,$112.6
11/09/2021,$114.13,6754723,$114.65,$115.6,$113.37
11/08/2021,$115.16,8753315,$116.52,$117.47,$114.5718
11/05/2021,$116.91,10256800,$113.24,$117.33,$113.14
11/04/2021,$112.16,8212593,$111.6,$112.42,$110.93
11/03/2021,$112.61,6422577,$111.33,$112.92,$110.11
11/02/2021,$111.45,11538860,$110.25,$111.82,$109.79
11/01/2021,$109.8,14184630,$107.225,$110.15,$107.2
10/29/2021,$106.07,27419550,$107.5,$107.99,$104.02
10/28/2021,$113.2,7697552,$113.74,$114.6,$112.46
10/27/2021,$113.51,5853912,$115.57,$115.57,$113.08
10/26/2021,$114.92,5947994,$114.92,$115.28,$114.25
10/25/2021,$114.71,4290626,$114.74,$114.88,$113.355
10/22/2021,$114.55,3396356,$114.41,$114.98,$114.07
10/21/2021,$114.44,3684290,$113.93,$114.56,$113.61
10/20/2021,$113.86,7645178,$113.0635,$115.1127,$112.71
10/19/2021,$113.49,5799287,$113.74,$114.54,$112.76
10/18/2021,$113.37,4958432,$111.44,$113.57,$110.96
10/15/2021,$111.45,5860872,$112.45,$112.92,$110.95
10/14/2021,$111.87,5196329,$111.08,$112.61,$111.01
10/13/2021,$110.76,4808625,$111.39,$111.48,$109.41
10/12/2021,$111,3866802,$111.72,$111.873,$110.655
10/11/2021,$110.94,5987335,$112.89,$113.56,$110.92
10/08/2021,$111.22,3786964,$112.58,$112.655,$111.13
10/07/2021,$112.21,5549460,$112.38,$112.98,$112.05
10/06/2021,$111.64,5734477,$110.18,$112.02,$109.48
10/05/2021,$110.85,5883995,$111.125,$111.48,$110.03
10/04/2021,$111.46,4497726,$112.43,$113.08,$111.0165
10/01/2021,$112.92,5636865,$110.89,$113.46,$110.54
09/30/2021,$110.31,5976056,$111.52,$112.16,$110.31
09/29/2021,$112.17,4389131,$111.9,$112.52,$111.57
09/28/2021,$111.71,5917926,$112.675,$113,$111.08
09/27/2021,$113.68,3988883,$113.612,$114.67,$112.91
09/24/2021,$114.11,3955231,$114.13,$114.86,$113.76
09/23/2021,$114.14,3841978,$113.39,$114.71,$113.1
09/22/2021,$113.07,4578157,$113.06,$114.03,$112.32
09/21/2021,$112.22,5468438,$111.92,$113.6,$111.75
09/20/2021,$111.82,7795222,$111.354,$112.27,$110.38
09/17/2021,$113.41,9261033,$114.54,$114.85,$113.12
09/16/2021,$114.67,7996996,$114.79,$115.2699,$113.193
09/15/2021,$114.64,11556160,$116.955,$117.02,$113.12
09/14/2021,$118.86,4722752,$119.724,$119.86,$118.36
09/13/2021,$119.18,4381067,$119.89,$120.15,$118.555
09/10/2021,$119.34,6517864,$119.35,$120.76,$118.89
09/09/2021,$118.79,4711219,$117.98,$120.07,$117.8
09/08/2021,$118.04,5548351,$116.1,$118.19,$115.51
09/07/2021,$115.79,4265770,$117.09,$117.13,$115.47
09/03/2021,$117.19,2922141,$116.838,$117.58,$116.34
09/02/2021,$117.37,3802306,$118.29,$118.36,$116.9
09/01/2021,$117.45,4402679,$118.01,$118.33,$117.275
08/31/2021,$117.49,6995511,$115.77,$117.6,$115.65
08/30/2021,$115.61,3078210,$115.61,$115.82,$114.63
08/27/2021,$115.12,4204688,$114.605,$115.39,$114.18
08/26/2021,$114.32,5188196,$115.62,$115.77,$113.86
08/25/2021,$115.57,3881496,$115.59,$115.99,$115
08/24/2021,$115.08,3447343,$115.39,$115.85,$114.94
08/23/2021,$115.15,4235113,$114.71,$115.46,$114.71
08/20/2021,$114.63,3486323,$113.98,$115,$113.66
08/19/2021,$114.32,5317417,$114.51,$115.0689,$113.61
08/18/2021,$115.68,4520484,$116.28,$116.735,$115.6
08/17/2021,$116.57,4719788,$116.62,$116.94,$115.56
08/16/2021,$117.54,5976599,$116.693,$117.73,$116.41
08/13/2021,$116.76,4361653,$115.94,$116.83,$115.4
08/12/2021,$115.75,4358487,$116.41,$116.78,$115.51
08/11/2021,$116.5,6472318,$116.34,$117.285,$115.9
08/10/2021,$116.39,9839675,$118.39,$118.5,$115.98
08/09/2021,$117.94,4557888,$118.99,$119.02,$117.75
08/06/2021,$119.05,6832572,$119.14,$119.21,$118.08
08/05/2021,$119.03,4281905,$118.72,$119.09,$118.11
08/04/2021,$118.25,6675845,$119.13,$119.21,$117.57
08/03/2021,$119.13,6030518,$120.57,$120.75,$117.5201
08/02/2021,$120.37,5996786,$122.027,$122.98,$120.065
07/30/2021,$121.43,5712315,$122.19,$122.98,$121.1
07/29/2021,$122.38,6618350,$122.93,$123.47,$122.14
07/28/2021,$122.41,11747040,$122.555,$123.33,$121.39
07/27/2021,$126.03,6110914,$126.08,$126.16,$124.81
07/26/2021,$126.06,4827462,$125.74,$126.1,$124.2501
07/23/2021,$125.97,7934201,$124.55,$126.32,$123.92
07/22/2021,$122.63,7172344,$119.34,$122.92,$119.07
07/21/2021,$119.27,4377463,$117.54,$119.65,$117.48
07/20/2021,$117.42,5118174,$115.63,$118.0696,$115.33
07/19/2021,$115.32,7731263,$117.54,$117.55,$114.33
07/16/2021,$118.73,5024843,$119.675,$120.48,$118.5
07/15/2021,$118.97,6467481,$119.29,$119.5795,$118.18
07/14/2021,$119.8,5701765,$119.94,$120.825,$119.68
07/13/2021,$119.55,5529344,$118.54,$119.99,$118.45
07/12/2021,$118.46,5683576,$117.75,$118.775,$117.39
07/09/2021,$117.47,3533636,$116.06,$117.7375,$116
07/08/2021,$115.99,4486121,$115.45,$116.76,$115.24
07/07/2021,$117.14,5382304,$115.88,$117.77,$115.65
